"duration_sec","start_time","end_time","start_station_id","start_station_name","start_station_latitude","start_station_longitude","end_station_id","end_station_name","end_station_latitude","end_station_longitude","bike_id","user_type","member_birth_year","member_gender"
428,"2018-02-07 14:36:19.3180","2018-02-07 14:43:27.9390",182,"19th Street BART Station",37.8090126,-122.2682473,178,"Broadway at 30th St",37.8193814,-122.2619284,3467,"Customer",1983,"Female"
364,"2018-02-07 14:36:40.8420","2018-02-07 14:42:45.3320",36,"Folsom St at 3rd St",37.78383,-122.39887,15,"San Francisco Ferry Building (Harry Bridges Plaza)",37.795392,-122.394203,3343,"Subscriber",1973,"Male"
435,"2018-02-07 14:35:19.9150","2018-02-07 14:42:35.5510",114,"Rhode Island St at 17th St",37.7644783,-122.4025701,67,"San Francisco Caltrain Station 2  (Townsend St at 4th St)",37.7766392,-122.3955263,2167,"Subscriber",1965,"Male"
341,"2018-02-07 14:36:05.2770","2018-02-07 14:41:47.1280",197,"El Embarcadero at Grand Ave",37.8088479,-122.2496799,195,"Bay Pl at Vernon St",37.81231409135146,-122.26077854633331,3044,"Subscriber",1982,"Male"
520,"2018-02-07 14:32:58.2040","2018-02-07 14:41:38.2780",25,"Howard St at 2nd St",37.787521780456245,-122.39740490913391,77,"11th St at Natoma St",37.7735069,-122.4160402,158,"Subscriber",1961,"Male"
841,"2018-02-07 14:27:16.1490","2018-02-07 14:41:17.2000",241,"Ashby BART Station",37.8524766,-122.2702132,239,"Bancroft Way at Telegraph Ave",37.8688126,-122.258764,3196,"Subscriber",1994,"Male"
273,"2018-02-07 14:36:42.1890","2018-02-07 14:41:15.9760",284,"Yerba Buena Center for the Arts (Howard St at 3rd St)",37.78487208436062,-122.40087568759917,24,"Spear St at Folsom St",37.7896767,-122.3904285,504,"Subscriber",1982,"Male"
123,"2018-02-07 14:39:04.3940","2018-02-07 14:41:08.2200",16,"Steuart St at Market St",37.79413,-122.39443,23,"The Embarcadero at Steuart St",37.791464,-122.391034,3382,"Subscriber",1986,"Male"
216,"2018-02-07 14:36:20.0050","2018-02-07 14:39:56.0760",308,"San Pedro Square",37.336802,-121.8940901,282,"Market St at Park St",37.332426301252056,-121.89034938812256,1514,"Subscriber",1972,"Male"
660,"2018-02-07 14:28:39.3240","2018-02-07 14:39:39.8550",100,"Bryant St at 15th St",37.7671004,-122.410662,43,"San Francisco Public Library (Grove St at Hyde St)",37.7787677,-122.4159292,3082,"Subscriber",1978,"Male"
337,"2018-02-07 14:33:48.4920","2018-02-07 14:39:25.6270",11,"Davis St at Jackson St",37.79728,-122.398436,22,"Howard St at Beale St",37.789756,-122.394643,3568,"Subscriber",1949,"Male"
705,"2018-02-07 14:27:15.8290","2018-02-07 14:39:01.1570",58,"Market St at 10th St",37.776619,-122.417385,21,"Montgomery St BART Station (Market St at 2nd St)",37.7896254,-122.400811,3386,"Subscriber",1960,"Male"
1774,"2018-02-07 14:09:14.3770","2018-02-07 14:38:49.0450",58,"Market St at 10th St",37.776619,-122.417385,285,"Webster St at O'Farrell St",37.78352083526095,-122.43115782737732,3154,"Customer","",""
71,"2018-02-07 14:37:29.8250","2018-02-07 14:38:40.9060",107,"17th St at Dolores St",37.7630152,-122.4264968,107,"17th St at Dolores St",37.7630152,-122.4264968,1580,"Subscriber",1978,"Female"
950,"2018-02-07 14:22:29.5050","2018-02-07 14:38:20.1610",172,"College Ave at Taft Ave",37.8417999,-122.2515349,243,"Bancroft Way at College Ave",37.8693603,-122.2543374,3426,"Subscriber",1981,"Male"
1090,"2018-02-07 14:20:05.6920","2018-02-07 14:38:16.0090",127,"Valencia St at 21st St",37.7567083,-122.421025,63,"Bryant St at 6th St",37.775910222333366,-122.40257500673577,93,"Subscriber","",""
522,"2018-02-07 14:29:17.4110","2018-02-07 14:38:00.3510",44,"Civic Center/UN Plaza BART Station (Market St at McAllister St)",37.7810737,-122.4117382,25,"Howard St at 2nd St",37.787521780456245,-122.39740490913391,1994,"Subscriber",1979,"Male"
469,"2018-02-07 14:29:41.9860","2018-02-07 14:37:31.0490",28,"The Embarcadero at Bryant St",37.78716801474664,-122.38809792330358,81,"Berry St at 4th St",37.77588,-122.39317,1541,"Subscriber",1991,"Female"
1483,"2018-02-07 14:12:33.3490","2018-02-07 14:37:16.9420",123,"Folsom St at 19th St",37.7605936,-122.4148171,70,"Central Ave at Fell St",37.77331087889723,-122.44429260492325,1225,"Customer","",""
1479,"2018-02-07 14:12:01.6370","2018-02-07 14:36:40.7180",123,"Folsom St at 19th St",37.7605936,-122.4148171,70,"Central Ave at Fell St",37.77331087889723,-122.44429260492325,536,"Subscriber",1960,"Female"
222,"2018-02-07 14:32:45.5380","2018-02-07 14:36:27.8870",122,"19th St at Mission St",37.760299,-122.418892,124,"19th St at Florida St",37.7604469,-122.410807,321,"Subscriber",1989,"Male"
261,"2018-02-07 14:31:27.2150","2018-02-07 14:35:49.0410",79,"7th St at Brannan St",37.7734919,-122.4036725,67,"San Francisco Caltrain Station 2  (Townsend St at 4th St)",37.7766392,-122.3955263,276,"Subscriber",1975,"Male"
477,"2018-02-07 14:27:35.6360","2018-02-07 14:35:33.2610",323,"Broadway at Kearny",37.79801364395978,-122.40595042705534,324,"Union Square (Powell St at Post St)",37.788299978150825,-122.40853071212767,2800,"Subscriber",1980,"Male"
793,"2018-02-07 14:22:15.9510","2018-02-07 14:35:29.7590",77,"11th St at Natoma St",37.7735069,-122.4160402,84,"Duboce Park",37.7692005,-122.4338119,3400,"Subscriber",1970,"Male"
425,"2018-02-07 14:28:14.1960","2018-02-07 14:35:20.1640",243,"Bancroft Way at College Ave",37.8693603,-122.2543374,166,"College Ave at Alcatraz Ave",37.8513755,-122.2525233,42,"Subscriber",1986,"Female"
527,"2018-02-07 14:26:30.2860","2018-02-07 14:35:17.5000",76,"McCoppin St at Valencia St",37.77166246221617,-122.42242321372034,112,"Harrison St at 17th St",37.7638471,-122.4130036,1176,"Subscriber",1959,"Male"
519,"2018-02-07 14:26:21.3900","2018-02-07 14:35:00.5670",76,"McCoppin St at Valencia St",37.77166246221617,-122.42242321372034,112,"Harrison St at 17th St",37.7638471,-122.4130036,3052,"Subscriber",1965,"Male"
185,"2018-02-07 14:31:05.7220","2018-02-07 14:34:11.1110",66,"3rd St at Townsend St",37.77874161153677,-122.39274082710836,342,"Colin P Kelly Jr St at Townsend St (Temporary Site)",37.781382819628725,-122.3898410797119,73,"Subscriber",1977,"Female"
1294,"2018-02-07 14:12:15.6000","2018-02-07 14:33:50.4680",93,"4th St at Mission Bay Blvd S",37.7704074,-122.3911984,144,"Precita Park",37.7472996,-122.4114029,1410,"Subscriber",1954,"Female"
184,"2018-02-07 14:30:15.9590","2018-02-07 14:33:20.7770",196,"Grand Ave at Perkins St",37.80889393398715,-122.25646018981932,181,"Grand Ave at Webster St",37.8113768,-122.2651925,1811,"Subscriber",1988,"Male"
183,"2018-02-07 14:30:07.2920","2018-02-07 14:33:10.6940",311,"Paseo De San Antonio at 2nd St",37.333798,-121.886943,310,"San Fernando St at 4th St",37.335885,-121.88566,2458,"Subscriber",1993,"Male"
350,"2018-02-07 14:25:41.4950","2018-02-07 14:31:32.3410",98,"Valencia St at 16th St",37.765052,-122.4218661,106,"Sanchez St at 17th St",37.7632417,-122.4306746,2577,"Subscriber",1960,"Male"
541,"2018-02-07 14:21:43.4710","2018-02-07 14:30:44.7220",122,"19th St at Mission St",37.760299,-122.418892,141,"Valencia St at Cesar Chavez St",37.7479981,-122.4202187,3325,"Subscriber",1970,"Male"
569,"2018-02-07 14:21:09.7120","2018-02-07 14:30:39.3300",201,"10th St at Fallon St",37.7976728,-122.2629973,230,"14th St at Mandela Pkwy",37.8107432,-122.2914153,3251,"Subscriber",1997,"Other"
322,"2018-02-07 14:23:28.9310","2018-02-07 14:28:51.5190",85,"Church St at Duboce Ave",37.7700831,-122.4291557,72,"Page St at Scott St",37.772406,-122.4356498,1311,"Subscriber",1984,"Male"
627,"2018-02-07 14:18:19.3740","2018-02-07 14:28:47.1330",95,"Sanchez St at 15th St",37.7662185,-122.4310597,141,"Valencia St at Cesar Chavez St",37.7479981,-122.4202187,1427,"Subscriber","",""
500,"2018-02-07 14:20:14.2790","2018-02-07 14:28:34.5950",124,"19th St at Florida St",37.7604469,-122.410807,144,"Precita Park",37.7472996,-122.4114029,688,"Subscriber",1964,"Male"
384,"2018-02-07 14:21:13.2330","2018-02-07 14:27:37.4880",5,"Powell St BART Station (Market St at 5th St)",37.783899357084934,-122.40844488143921,20,"Mechanics Monument Plaza (Market St at Bush St)",37.7913,-122.399051,1259,"Subscriber",1974,"Male"
1187,"2018-02-07 14:07:49.5690","2018-02-07 14:27:36.5780",44,"Civic Center/UN Plaza BART Station (Market St at McAllister St)",37.7810737,-122.4117382,81,"Berry St at 4th St",37.77588,-122.39317,2409,"Subscriber",1959,"Male"
472,"2018-02-07 14:19:40.6500","2018-02-07 14:27:33.3450",93,"4th St at Mission Bay Blvd S",37.7704074,-122.3911984,114,"Rhode Island St at 17th St",37.7644783,-122.4025701,2167,"Subscriber",1965,"Male"
405,"2018-02-07 14:20:41.3450","2018-02-07 14:27:27.1240",134,"Valencia St at 24th St",37.7524278,-122.4206278,107,"17th St at Dolores St",37.7630152,-122.4264968,2937,"Subscriber",1979,"Male"
811,"2018-02-07 14:13:39.8460","2018-02-07 14:27:11.6190",33,"Golden Gate Ave at Hyde St",37.7816495,-122.4154077,30,"San Francisco Caltrain (Townsend St at 4th St)",37.776598,-122.395282,3036,"Subscriber",1986,"Male"
197,"2018-02-07 14:23:45.0770","2018-02-07 14:27:02.7220",14,"Clay St at Battery St",37.795001,-122.39997,9,"Broadway at Battery St",37.79857210846256,-122.40086898207666,2648,"Subscriber",1988,"Male"
769,"2018-02-07 14:14:09.0010","2018-02-07 14:26:58.0290",113,"Franklin Square",37.764555,-122.410345,5,"Powell St BART Station (Market St at 5th St)",37.783899357084934,-122.40844488143921,2730,"Subscriber",1963,"Female"
644,"2018-02-07 14:16:08.7570","2018-02-07 14:26:53.1390",90,"Townsend St at 7th St",37.771058,-122.402717,5,"Powell St BART Station (Market St at 5th St)",37.783899357084934,-122.40844488143921,1653,"Subscriber",1967,"Male"
622,"2018-02-07 14:16:26.7050","2018-02-07 14:26:49.2510",305,"Ryland Park",37.342725,-121.895617,280,"San Fernando at 7th St",37.337246,-121.8830739,3706,"Subscriber",1990,"Male"
3828,"2018-02-07 13:22:52.9470","2018-02-07 14:26:41.4690",159,"24th St at Market St",37.8160598,-122.2782444,159,"24th St at Market St",37.8160598,-122.2782444,2339,"Subscriber",1975,"Male"
1481,"2018-02-07 14:01:37.7800","2018-02-07 14:26:19.0510",28,"The Embarcadero at Bryant St",37.78716801474664,-122.38809792330358,6,"The Embarcadero at Sansome St",37.80477,-122.403234,1665,"Customer","",""
1096,"2018-02-07 14:07:23.9680","2018-02-07 14:25:40.9280",4,"Cyril Magnin St at Ellis St",37.78588062694133,-122.4089150084319,139,"Garfield Square (25th St at Harrison St)",37.7510171,-122.4119009,2868,"Subscriber",1987,"Male"
219,"2018-02-07 14:21:16.1500","2018-02-07 14:24:56.0350",134,"Valencia St at 24th St",37.7524278,-122.4206278,141,"Valencia St at Cesar Chavez St",37.7479981,-122.4202187,1591,"Subscriber",1974,"Female"
803,"2018-02-07 14:11:31.6820","2018-02-07 14:24:55.3640",84,"Duboce Park",37.7692005,-122.4338119,44,"Civic Center/UN Plaza BART Station (Market St at McAllister St)",37.7810737,-122.4117382,3500,"Subscriber",1966,"Male"
1403,"2018-02-07 14:01:07.6690","2018-02-07 14:24:30.9310",90,"Townsend St at 7th St",37.771058,-122.402717,28,"The Embarcadero at Bryant St",37.78716801474664,-122.38809792330358,1921,"Customer","",""
786,"2018-02-07 14:10:25.6370","2018-02-07 14:23:31.9600",174,"Shattuck Ave at 51st St",37.8368013,-122.2640037,183,"Telegraph Ave at 19th St",37.8087021,-122.2699271,3285,"Subscriber",1986,"Male"
652,"2018-02-07 14:12:32.1970","2018-02-07 14:23:24.6190",3,"Powell St BART Station (Market St at 4th St)",37.78637526861584,-122.40490436553954,30,"San Francisco Caltrain (Townsend St at 4th St)",37.776598,-122.395282,820,"Subscriber",1985,"Female"
1702,"2018-02-07 13:54:02.8610","2018-02-07 14:22:25.7560",118,"Eureka Valley Recreation Center",37.7591769,-122.4369431,74,"Laguna St at Hayes St",37.776434819204745,-122.42624402046204,2064,"Customer","",""
718,"2018-02-07 14:10:17.8150","2018-02-07 14:22:16.1800",27,"Beale St at Harrison St",37.7880593,-122.3918648,14,"Clay St at Battery St",37.795001,-122.39997,2751,"Subscriber",1961,"Male"
1342,"2018-02-07 13:59:30.1740","2018-02-07 14:21:52.8260",19,"Post St at Kearny St",37.788975,-122.403452,19,"Post St at Kearny St",37.788975,-122.403452,2721,"Subscriber",1990,"Male"
846,"2018-02-07 14:07:37.8210","2018-02-07 14:21:44.3160",98,"Valencia St at 16th St",37.765052,-122.4218661,3,"Powell St BART Station (Market St at 4th St)",37.78637526861584,-122.40490436553954,639,"Subscriber",1969,"Male"
269,"2018-02-07 14:16:31.0810","2018-02-07 14:21:00.8440",134,"Valencia St at 24th St",37.7524278,-122.4206278,147,"29th St at Tiffany Ave",37.7440667,-122.4214722,119,"Subscriber",1975,"Male"
169,"2018-02-07 14:17:57.1530","2018-02-07 14:20:46.9600",17,"Embarcadero BART Station (Beale St at Market St)",37.792251,-122.397086,14,"Clay St at Battery St",37.795001,-122.39997,1578,"Subscriber",1957,"Male"
5679,"2018-02-07 12:45:45.0430","2018-02-07 14:20:24.9970",202,"Washington St at 8th St",37.8007544,-122.2748943,202,"Washington St at 8th St",37.8007544,-122.2748943,3696,"Customer","",""
600,"2018-02-07 14:10:02.9410","2018-02-07 14:20:03.5920",3,"Powell St BART Station (Market St at 4th St)",37.78637526861584,-122.40490436553954,22,"Howard St at Beale St",37.789756,-122.394643,1654,"Subscriber",1989,"Female"
305,"2018-02-07 14:14:34.9370","2018-02-07 14:19:40.0060",25,"Howard St at 2nd St",37.787521780456245,-122.39740490913391,15,"San Francisco Ferry Building (Harry Bridges Plaza)",37.795392,-122.394203,1166,"Subscriber",1978,"Male"
440,"2018-02-07 14:11:46.2090","2018-02-07 14:19:06.4380",163,"Lake Merritt BART Station",37.7973195,-122.2653199,182,"19th Street BART Station",37.8090126,-122.2682473,3410,"Subscriber",1977,"Male"
941,"2018-02-07 14:03:18.2030","2018-02-07 14:18:59.4390",30,"San Francisco Caltrain (Townsend St at 4th St)",37.776598,-122.395282,110,"17th & Folsom Street Park (17th St at Folsom St)",37.7637085,-122.4152042,2331,"Customer","",""
1201,"2018-02-07 13:58:50.6550","2018-02-07 14:18:51.7110",30,"San Francisco Caltrain (Townsend St at 4th St)",37.776598,-122.395282,110,"17th & Folsom Street Park (17th St at Folsom St)",37.7637085,-122.4152042,1715,"Subscriber",1970,"Female"
613,"2018-02-07 14:08:37.1350","2018-02-07 14:18:50.4380",8,"The Embarcadero at Vallejo St",37.799953,-122.398525,36,"Folsom St at 3rd St",37.78383,-122.39887,2692,"Subscriber",1977,"Male"
633,"2018-02-07 14:08:11.4670","2018-02-07 14:18:44.8180",121,"Mission Playground",37.7592103,-122.4213392,145,"29th St at Church St",37.7436839,-122.4268059,2902,"Subscriber",1983,"Male"
733,"2018-02-07 14:05:46.5880","2018-02-07 14:18:00.0370",166,"College Ave at Alcatraz Ave",37.8513755,-122.2525233,243,"Bancroft Way at College Ave",37.8693603,-122.2543374,3552,"Subscriber",1949,"Male"
270,"2018-02-07 14:13:15.8670","2018-02-07 14:17:46.2480",321,"5th at Folsom",37.78014570345598,-122.40307085237873,63,"Bryant St at 6th St",37.775910222333366,-122.40257500673577,32,"Subscriber",1950,"Male"
168,"2018-02-07 14:14:51.7520","2018-02-07 14:17:40.1810",13,"Commercial St at Montgomery St",37.794231,-122.402923,20,"Mechanics Monument Plaza (Market St at Bush St)",37.7913,-122.399051,479,"Subscriber",1979,"Male"
1017,"2018-02-07 13:59:51.4130","2018-02-07 14:16:49.1350",248,"Telegraph Ave at Ashby Ave",37.8559558,-122.2597949,157,"65th St at Hollis St",37.8467842,-122.2913761,1850,"Subscriber",1983,"Male"
2141,"2018-02-07 13:40:27.9380","2018-02-07 14:16:09.7440",74,"Laguna St at Hayes St",37.776434819204745,-122.42624402046204,24,"Spear St at Folsom St",37.7896767,-122.3904285,2323,"Subscriber",1959,"Male"
480,"2018-02-07 14:08:03.5170","2018-02-07 14:16:04.4450",133,"Valencia St at 22nd St",37.7552126,-122.4209752,129,"Harrison St at 20th St",37.758862,-122.412544,2866,"Subscriber",1983,"Male"
